id,name,set,collector,newPrice
0001b4a6-10bf-4bdd-a9da-fe78d9d39a82,Wastewood Verge,PDFT,268p,9.03
00020b05-ecb9-4603-8cc1-8cfa7a14befc,Wildcall,UGIN,146,1.20
0003aa31-d42e-4972-9fb9-086aefe29a2c,Birds of Paradise,SLD,176,14.67
0005c844-787c-4f0c-8d25-85cec151642b,Whiptongue Hydra,C18,36,1.16
00065e7d-d73e-4093-aa1a-f0fe695a0ab5,Pugnacious Hammerskull,PLCI,208p,1.48
000809e6-2dd5-41cc-a316-3edb4e40eb58,Siren's Call,CED,78,2.06
000a5154-90ba-459e-b122-d6893dfdb56f,Mystical Tutor,DMR,421,16.36
000db964-719d-4532-9225-35658565b35d,"Narset, Parter of Veils",SLD,1141,18.14
0014def3-4063-4929-ac51-76aef1bb2a68,Shahrazad,ARN,10,456.74
0016ea50-4f77-4814-a505-8067ecb177cc,Temporal Manipulation,SLD,1169,16.76
00212714-a410-4cbc-bf1c-f90d7d77378c,Harbinger of the Seas,MH3,63,1.15
00242e12-a957-4cb2-9d26-e1124e614e72,"Scarlet Witch, Chaotic Avenger",MSC,414,20.00
00281944-a9d3-4294-8f63-34ad09e4c627,Eumidian Hatchery,EOC,40,1.16
00298672-079c-4c92-9916-0bc2893898d0,Plains,BRB,128,1.41
0029955b-32a5-4dd8-8a8c-5c80cdfd13aa,"Edric, Spymaster of Trest",CNS,187,2.90
00372c7a-2e83-4a26-9642-0d092dfcf861,Eldrazi Temple,SLD,1154,46.51
0038ea4d-d0a6-44a4-bee6-24c03313d2bc,Sphinx's Revelation,MM3,187,1.14
003d05be-4cf2-43c6-a823-c2b9c6482d38,"Alesha, Who Laughs at Fate",FDN,476,2.42
003db299-c62b-405e-9833-5ebaef9c8301,Duelist's Heritage,C16,1,2.10
003e99a0-2caa-407b-be40-92ec17836eb3,Celestial Kirin,SOK,3,1.02
00436b30-d342-4c1d-81af-8f305bf53c86,"Armaggon, Future Shark",TMT,264,2.00
00449fad-6b06-40b1-8179-cbc86acec907,Reality Smasher,SLD,1153,8.93
004524bf-b249-4dac-9c10-44d57143feb9,"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",LCI,188,8.48
004966d8-2e2d-4b6a-938a-10f257179cf8,Darksteel Splicer,MOC,100,2.17
0049e68d-0caf-474f-9523-dad343f1250a,"Hogaak, Arisen Necropolis",MH1,202,1.35
004a0178-b523-473f-8410-480e6aaec242,Survival of the Fittest,WC98,bs129,74.39
004a67ce-60ef-4cc2-9f4d-f30e3029d80a,Keen-Eyed Curator,BLB,322,1.80
004bbc84-b57b-4393-889e-dff95e8f334c,Birthing Ritual,MH3,337,7.18
004e232c-ea3d-4a8c-bf16-234ac09e4567,Swamp,30A,289,8.03
0050b693-7bad-4c0c-baca-0186d153ce2e,Farewell,NEO,436,9.45
0050be51-8c4e-4b97-b171-ede5fadfd141,Digsite Engineer,C21,342,1.68
00541f77-f1ca-4de5-b080-de2dcdfe17e7,"Cadric, Soul Kindler",DMC,86,5.50
0055ea30-20fb-4324-a632-8fed87628f05,"Boseiju, Who Endures",NEO,412,71.20
00574054-7fac-4d77-a955-06e49fb01ae1,Catastrophe,BRB,12,4.05
0057bac8-7600-422e-88ef-accf1d0bb4ef,Beledros Witherbloom,PSTX,163p,7.94
0059d21b-0725-4806-8691-2451db36787f,Phyresis,MBS,49,2.01
005a993c-5111-4364-9fba-75b3d94a8296,Mountain,2ED,298,3.06
005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,C14,268,5.69
005fd651-7546-462f-bf9f-c78fb3310889,Ledger Shredder,PSNC,46p,9.62
00632c03-be00-4722-85b3-2ce31bba5cc6,Thousand-Faced Shadow,NEO,451,3.08
0066c7a6-7775-43ba-81cd-35fbc5621bc3,Raise Dead,LEB,123,11.59
006871fd-2641-42cb-a2ac-a33d05fc5a35,Saprazzan Skerry,MMQ,328,2.91
00694044-99c9-49f1-9e93-274d702a59f8,Elder Gargaroth,PM21,179p,5.68
006b8547-1427-4aa2-88e4-e82b0ff4bb6d,Heartbeat of Spring,TLE,42,1.98
006eb5ef-ac0a-4e39-831c-4019512bce60,"Danitha, New Benalia's Light",MAT,79,2.35
006fa597-c469-4c9c-a14f-f09e1074392b,Guardian Angel,CEI,22,1.00
0073096e-cc3b-499a-87d6-d1692fffe7a9,"Titania, Nature's Force",BRC,25,4.12
00760b58-8a7d-44fa-a5e7-9df54c21c77d,"Laelia, the Blade Reforged",C21,380,2.79
007ca493-a000-4d4e-9bdb-0ee38dc9da0d,Season of Weaving,PBLB,68p,3.87
007d53d3-3fb7-4ca5-8195-203fb96fafa7,Spinerock Knoll,PLST,DSC-300,2.16
007f0aab-e4e1-48dd-b333-76dd5c7ebe67,Soul of Eternity,CMR,626,1.29
00832a47-dec8-411e-9708-b3ebbd3a2dfc,Llanowar,OPCA,48,4.44
00841818-d46a-4865-a41c-daf627d10d1b,Hurska Sweet-Tooth,J25,53,1.53
008782d2-72b0-4554-b1ce-2db99969a4d8,"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",FIN,232,1.49
0087f7de-7065-4492-8fe9-f9a22c32a05d,Manaform Hellkite,DBL,437,2.36
008e066b-ca19-4c86-9865-d0d2662c0e50,Slivdrazi Monstrosity,CMB2,102,13.40
009521db-a4e5-43d7-9ef0-710c69a4f797,Beastmaster Ascension,C14,186,4.09
009661e7-c704-43a1-82e3-7da0b609844e,"Lady Zhurong, Warrior Queen",PTK,139,114.52
009b1aff-a8c7-4032-ab29-a77c94c5af59,Manabarbs,10E,218,4.85
009f7603-a6a3-461b-bc73-810db1ab2898,Reconnaissance Mission,40K,193,2.27
00a4aef8-64fc-4e9d-adac-ef4c85d40b4a,"Padeem, Consul of Innovation",CMM,109,3.02
00a4ffc1-7731-42d9-b970-2a8d84cba14d,Nature's Lore,5ED,316,4.00
00ae906b-2c4d-48e9-9f2d-217777e22292,Thermokarst,ICE,268,5.77
00aef0cf-8b96-4120-9ef4-16203b7c6b9b,Knight of the White Orchid,C21,95,3.69
00b1139d-e87c-415d-be20-d4d31480ebdc,Inspiring Vantage,SLD,1375,5.64
00b44e41-828b-4da4-b625-92943b8989ac,Mirrormind Crown,ECL,381,1.55
00b65a4b-d0d9-4439-96f9-0e0dd532c824,Telepathy,7ED,102,1.96
00beba34-54cc-4a30-8424-71a1215647a6,Mirror Gallery,BOK,154,12.15
